"var1","var2","statistic","p_value","method","status","p_adjusted","candidate"
"N3","N4",75.6271299178208,0.05,"energy::dcov.test","ok",1,"BFI"
"N1","N2",58.4557904811031,0.05,"energy::dcov.test","ok",1,"BFI"
"A2","A3",55.1790873262961,0.05,"energy::dcov.test","ok",1,"BFI"
"E3","O1",51.220996767424,0.05,"energy::dcov.test","ok",1,"BFI"
"E2","O4",50.0642774791782,0.05,"energy::dcov.test","ok",1,"BFI"
"q_90","q_1763",135.13153043573,0.05,"energy::dcov.test","ok",1,"SPI"
"q_4252","q_1989",88.8793798769827,0.05,"energy::dcov.test","ok",1,"SPI"
"q_128","q_2745",67.6496085136352,0.05,"energy::dcov.test","ok",1,"SPI"
"q_979","q_4252",63.943970622928,0.05,"energy::dcov.test","ok",1,"SPI"
"q_1744","q_1979",52.1533491744197,0.05,"energy::dcov.test","ok",1,"SPI"
"active","energetic",158.746868903066,0.05,"energy::dcov.test","ok",1,"MSQ"
"nervous","scared",140.797214813278,0.05,"energy::dcov.test","ok",1,"MSQ"
"active","vigorous",99.3128621052701,0.05,"energy::dcov.test","ok",1,"MSQ"
"active","full.of.pep",88.6940355137468,0.05,"energy::dcov.test","ok",1,"MSQ"
"happy","cheerful",79.4623886463395,0.05,"energy::dcov.test","ok",1,"MSQ"
"worrying","worried",274.712578366317,0.05,"energy::dcov.test","ok",1,"SAI"
"secure","confident",160.943078718095,0.05,"energy::dcov.test","ok",1,"SAI"
"tense","upset",125.934333999844,0.05,"energy::dcov.test","ok",1,"SAI"
"jittery","worried",122.998932922151,0.05,"energy::dcov.test","ok",1,"SAI"
"calm","secure",115.473776086133,0.05,"energy::dcov.test","ok",1,"SAI"
"t01_visperc","t13_sccaps",7.69796886043103,0.05,"energy::dcov.test","ok",1,"HolzingerSwineford"
"t10_addition","t13_sccaps",3.45195344195389,0.1,"energy::dcov.test","ok",1,"HolzingerSwineford"
"t02_cubes","t10_addition",3.28713126970279,0.1,"energy::dcov.test","ok",1,"HolzingerSwineford"
"t01_visperc","t06_paracomp",2.84878659564006,0.1,"energy::dcov.test","ok",1,"HolzingerSwineford"
"t01_visperc","t10_addition",2.83488208132144,0.05,"energy::dcov.test","ok",1,"HolzingerSwineford"
