"variable","statistic","p_value","method","status","p_adjusted","candidate"
"A2",138.442542754593,2.40096038384152e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80192076768304e-06,"BFI"
"O4",78.3965238369897,2.40096038384152e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80192076768304e-06,"BFI"
"A3",63.7144031543226,2.40096038384152e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80192076768304e-06,"BFI"
"A4",61.6355165732111,2.40096038384152e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80192076768304e-06,"BFI"
"O2",55.7523776901226,2.40096038384152e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80192076768304e-06,"BFI"
"q_90",212.926152971068,1.49999999976558e-07,"Anderson-Darling standard normal reference","naive_p_value",2.24999999964837e-06,"SPI"
"q_1763",86.7005434310549,1.49999999976558e-07,"Anderson-Darling standard normal reference","naive_p_value",2.24999999964837e-06,"SPI"
"q_1290",81.2199926316898,1.49999999976558e-07,"Anderson-Darling standard normal reference","naive_p_value",2.24999999964837e-06,"SPI"
"q_128",57.2438113969515,1.49999999976558e-07,"Anderson-Darling standard normal reference","naive_p_value",2.24999999964837e-06,"SPI"
"q_253",55.6190991546459,1.49999999976558e-07,"Anderson-Darling standard normal reference","naive_p_value",2.24999999964837e-06,"SPI"
"afraid",455.84548680106,3.00450675894126e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80721081430602e-06,"MSQ"
"ashamed",353.956191687978,3.00450675894126e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80721081430602e-06,"MSQ"
"nervous",318.351337014346,3.00450675894126e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80721081430602e-06,"MSQ"
"scared",310.551329191723,3.00450675894126e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80721081430602e-06,"MSQ"
"hostile",166.8331336271,3.00450675894126e-07,"Anderson-Darling standard normal reference","naive_p_value",4.80721081430602e-06,"MSQ"
"calm",177.170716164697,2.03527815378912e-07,"Anderson-Darling standard normal reference","naive_p_value",3.25644504606259e-06,"SAI"
"upset",163.475922988921,2.03527815378912e-07,"Anderson-Darling standard normal reference","naive_p_value",3.25644504606259e-06,"SAI"
"high.strung",102.199421791659,2.03527815378912e-07,"Anderson-Darling standard normal reference","naive_p_value",3.25644504606259e-06,"SAI"
"jittery",84.8662077702534,2.03527815378912e-07,"Anderson-Darling standard normal reference","naive_p_value",3.25644504606259e-06,"SAI"
"worrying",84.5734250953578,2.03527815378912e-07,"Anderson-Darling standard normal reference","naive_p_value",3.25644504606259e-06,"SAI"
"t02_cubes",2.29881741400567,0.0633321235676972,"Anderson-Darling standard normal reference","naive_p_value",0.69665335924467,"HolzingerSwineford"
"t12_countdot",1.11482088107425,0.302222960151329,"Anderson-Darling standard normal reference","naive_p_value",1,"HolzingerSwineford"
"t09_wordmean",0.906287134320905,0.410301553607507,"Anderson-Darling standard normal reference","naive_p_value",1,"HolzingerSwineford"
"t10_addition",0.902669245355924,0.412515617401976,"Anderson-Darling standard normal reference","naive_p_value",1,"HolzingerSwineford"
"t05_geninfo",0.838955759307112,0.453667576025783,"Anderson-Darling standard normal reference","naive_p_value",1,"HolzingerSwineford"
