"variable","statistic","p","p_adjusted","candidate"
"year",52.7218820207431,1.99999999894729e-07,7.99999999578915e-07,"WageLogPath"
"logwage",11.8576422265887,2.35922818947465e-07,7.99999999578915e-07,"WageLogPath"
"age",9.25425660363271,2.31614518942935e-05,4.63229037885871e-05,"WageLogPath"
"education_num",8.9853989217404,3.36073095257294e-05,4.63229037885871e-05,"WageLogPath"
"TotChol",Inf,8.83132175166779e-08,6.18192522616745e-07,"NHANESBpPath"
"BMI",84.2501270693683,8.83132175166779e-08,6.18192522616745e-07,"NHANESBpPath"
"BPDiaAve",66.3455959628345,8.83132175166779e-08,6.18192522616745e-07,"NHANESBpPath"
"BPSysAve",62.9080006796739,8.83132175166779e-08,6.18192522616745e-07,"NHANESBpPath"
"DirectChol",52.3567419316105,8.83132175166779e-08,6.18192522616745e-07,"NHANESBpPath"
"afraid",455.847960822935,3.00450675894126e-07,4.80721081430602e-06,"MSQAffectCfa"
"ashamed",353.95633680615,3.00450675894126e-07,4.80721081430602e-06,"MSQAffectCfa"
"nervous",318.35186687657,3.00450675894126e-07,4.80721081430602e-06,"MSQAffectCfa"
"scared",310.552274194785,3.00450675894126e-07,4.80721081430602e-06,"MSQAffectCfa"
"hostile",166.832396713351,3.00450675894126e-07,4.80721081430602e-06,"MSQAffectCfa"
"q_90",212.926161048354,1.49999999976558e-07,2.24999999964837e-06,"SPIBigFiveCfa"
"q_1763",86.7005320698563,1.49999999976558e-07,2.24999999964837e-06,"SPIBigFiveCfa"
"q_1290",81.220051384726,1.49999999976558e-07,2.24999999964837e-06,"SPIBigFiveCfa"
"q_128",57.2440385433079,1.49999999976558e-07,2.24999999964837e-06,"SPIBigFiveCfa"
"q_253",55.6191044811808,1.49999999976558e-07,2.24999999964837e-06,"SPIBigFiveCfa"
