"var1","var2","dcor","pearson","spearman","dcov_statistic","dcov_p","p_adjusted_top","candidate"
"logwage","education_num",0.191404791255451,-5.33878223914258e-09,0.107990361647428,42.5334144786083,0.005,0.025,"WageLogPath"
"logwage","age",0.119247268293027,-9.28306396292102e-10,0.045123838124786,16.4253514030012,0.005,0.025,"WageLogPath"
"logwage","year",0.0749074981583371,-4.8119791921474e-09,-0.0623356170200527,7.23398741396622,0.005,0.025,"WageLogPath"
"age","education_num",0.0631352579624576,-5.37343162667664e-09,-0.0250863784838037,5.35752353433512,0.005,0.025,"WageLogPath"
"age","year",0.0500732228800305,1.52676174769998e-08,-0.026296849489282,3.74225850930515,0.015,0.025,"WageLogPath"
"Age","BPDiaAve",0.143314658380818,1.84137004356907e-08,0.0442045642055988,52.4510075642629,0.005,0.025,"NHANESBpPath"
"BMI","DirectChol",0.133208246743443,3.53083905011707e-09,-0.0555348880812282,43.3520690009751,0.005,0.025,"NHANESBpPath"
"BPSysAve","BPDiaAve",0.130346261971392,1.2132936738017e-09,0.0787098224120443,38.2134057020898,0.005,0.025,"NHANESBpPath"
"BPSysAve","Age",0.116264555894703,-1.58180038588382e-09,0.047170584536725,36.5320172374272,0.005,0.025,"NHANESBpPath"
"BPSysAve","BMI",0.0808880984320949,-3.07769950122955e-09,0.0406323056050535,15.6844919253645,0.005,0.025,"NHANESBpPath"
"nervous","scared",0.515255172120949,-0.00518201037694678,0.0728653722735752,140.797299913999,0.005,0.025,"MSQAffectCfa"
"afraid","ashamed",0.42748395505788,-0.0121086309428689,0.358835944258858,66.4514758515333,0.005,0.025,"MSQAffectCfa"
"active","energetic",0.404791859224959,-0.0265863887224403,-0.000960454255322496,158.746686757976,0.005,0.025,"MSQAffectCfa"
"scared","ashamed",0.394304111010303,-0.0348940057071497,0.433232272998457,52.9385809726796,0.005,0.025,"MSQAffectCfa"
"afraid","scared",0.369420936282363,0.0277177118810436,0.495974790594526,48.8967667507015,0.005,0.025,"MSQAffectCfa"
"q_90","q_1763",0.300127166019275,-0.00425448030150359,0.0945877374621409,135.13154486569,0.005,0.025,"SPIBigFiveCfa"
"q_4252","q_1989",0.251687405444837,0.0262793598433516,0.144250752767786,88.8793018862596,0.005,0.025,"SPIBigFiveCfa"
"q_128","q_2745",0.208267242161132,-0.00854195577233959,0.0667605749600448,67.6497005481868,0.005,0.025,"SPIBigFiveCfa"
"q_1763","q_253",0.188631267202213,0.0200545440827181,0.0515230041414887,44.9061235984526,0.005,0.025,"SPIBigFiveCfa"
"q_979","q_4252",0.188528865995601,-0.0197611189074709,0.00897700883963411,63.943983897598,0.005,0.025,"SPIBigFiveCfa"
