condition,n,nvars,misfit_type,SEM_p,Row_distance_AD_p,Marginal_AD_p,Energy_MVN_p,Global_dHSIC_p,Pairwise_dCov_p
1,100,4,none,0.064,0.004,0,0.056,0.046,0.016
2,500,4,none,0.068,0,0,0.036,0.024,0.022
3,100,8,none,0.086,0,0,0.054,0.044,0
4,500,8,none,0.05,0.002,0,0.052,0.054,0
5,100,4,omitted covariance,0.856,0.002,0,0.056,0.218,0.722
6,500,4,omitted covariance,1,0.006,0,0.066,0.944,1
7,100,8,omitted covariance,0.54,0.004,0,0.06,0.064,0
8,500,8,omitted covariance,1,0,0,0.064,0.27,0
9,100,4,omitted interaction,0.05,0.068,0,0.798,0.452,0.012
10,500,4,omitted interaction,0.064,0.758,0,1,1,0.11
11,100,8,omitted interaction,0.076,0.014,0,0.388,0.11,0
12,500,8,omitted interaction,0.052,0.202,0,1,0.556,0
13,100,4,nonlinear curve,0.05,0.138,0.03,0.994,0.754,0.918
14,500,4,nonlinear curve,0.058,0.938,0.936,1,1,1
15,100,8,nonlinear curve,0.072,0.022,0.006,0.914,0.178,0
16,500,8,nonlinear curve,0.054,0.468,0.868,1,0.87,0
17,100,4,skewed marginal,0.072,0.002,0.078,0.684,0.04,0.014
18,500,4,skewed marginal,0.066,0.012,1,1,0.038,0.022
19,100,8,skewed marginal,0.08,0.004,0.012,0.328,0.044,0
20,500,8,skewed marginal,0.068,0.004,1,1,0.066,0
21,100,4,heavy tails,0.072,0.088,0.14,0.532,0.046,0.014
22,500,4,heavy tails,0.066,0.79,0.95,0.996,0.044,0.022
23,100,8,heavy tails,0.09,0.024,0.12,0.374,0.05,0
24,500,8,heavy tails,0.05,0.416,0.932,0.952,0.054,0
25,100,4,group mean,0.104,0.004,0,0.044,0.028,0.022
26,500,4,group mean,0.094,0.02,0,0.114,0.1,0.018
27,100,8,group mean,0.098,0,0,0.052,0.058,0
28,500,8,group mean,0.082,0.006,0,0.056,0.072,0
29,100,4,group variance,0.086,0.056,0,0.374,0.062,0.014
30,500,4,group variance,0.056,0.696,0.016,0.986,0.192,0.028
31,100,8,group variance,0.066,0.008,0,0.152,0.052,0
32,500,8,group variance,0.078,0.1,0.008,0.642,0.046,0
